0,100,0.05,4.000798385487126
2,100,0.05,4.000798385487126
4,100,0.05,4.000798385487126
6,100,0.05,4.000798385487126
8,100,0.05,4.000798385487126
10,100,0.05,4.000798385487126
12,100,0.05,4.000798385487126
14,100,0.05,4.000798385487126
16,100,0.05,4.000798385487126
18,100,0.05,4.000798385487126
20,100,0.05,4.000798385487126
22,100,0.05,4.000798385487126
24,100,0.05,4.000798385487126
26,100,0.05,4.000798385487126
28,100,0.05,4.000798385487126
30,100,0.05,4.000798385487126
