3,3,0.975775627,0.975879302
4,3,0.952111277,0.952122565
5,3,0.971961223,0.971964588
5,5,0.98811832,0.988157801
6,3,0.9660199,0.966085162
6,5,0.987263682,0.987282166
7,3,0.97759522,0.977581102
7,5,0.983071944,0.983076184
7,7,0.981478715,0.981525095
8,3,0.9714001,0.971413026
8,5,0.987394121,0.98741238
8,7,0.974040857,0.974042328
9,3,0.984442782,0.984465363
9,5,0.988032909,0.988053165
9,7,0.991124408,0.9911422
9,9,0.979655946,0.979674618
10,3,0.978243513,0.978265406
10,5,0.980239521,0.980241993
10,7,0.985728543,0.985717261
10,9,0.991666667,0.991678631
